"id","name","laboratory","theraputic_class","pharmaco_class","dci","commercial_name","dci_code","form","dosage","conditioning","type","list","country","marketed","reimbursable","reference_price","ppa_indicative","registration_num","notice_link","img_link"
1,"ABASAGLAR 100UI/ML (3,64MG/ML) SOL. INJ. EN STYLO PREREMPLI KWIKPEN B/05 STYLOS PREREMLIS DE 3 ML","ELI LILLY","METABOLISME NUTRITION DIABETE","INSULINES","INSULINE GLARGINE","ABASAGLAR","14B215","SOL. INJ.","100UI/ML (3,64MG/ML)","B/05 STYLOS PREREMLIS DE 3 ML","Générique","Liste II","AUTRICHE",True,True,"0","","034/14B215/17","https://www.pharmnet-dz.com/notice.ashx?id=5866","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/5866.png"
2,"ABAVIR 300 MG CP PELL B/1 PILULIER DE 60","HETERO LABS LIMITED","PARASITOLOGIE","ANTIVIRAUX","ABACAVIR SULFATE EXPERIME EN ABACAVIR","ABAVIR","13P491","COMP. PELLI.","300 MG","B/1 PILULIER DE 60","Générique","Liste I","INDE",True,True,NULL,"","524/ 13 P 491/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
3,"ABAVIR OS 20 MG/ML SOL BUV B/1 FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML","HETERO LABS LIMITED","PARASITOLOGIE","ANTIVIRAUX","ABACAVIR SULFATE EXPERIME EN ABACAVIR","ABAVIR OS","13P490","SOL. BUV.","20 MG/ML","B/1 FL DE 240 ML ET SEREINGUE FRADUEE DE 10 ML","Générique","Liste I","INDE",True,True,NULL,"","524/ 13 P 490/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
4,"ABDIFLY 10MG COMPRIME B/28","ABDI IBRAHIM","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABDIFLY","16D103","COMP.","10MG","B/28","Générique","Liste I","ALGERIE",True,True,"5452","","426/16 D 103/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
5,"ABDIFLY 15MG COMPRIME B/28","ABDI IBRAHIM","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABDIFLY","16D104","COMP.","15MG","B/28","Générique","Liste I","ALGERIE",True,True,"5842","","426/16 D 104/19","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
6,"ABILIFY 10MG COMP. B/28","OTSUKA PHARMACEUTICAL EUROPE LTD","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIFY","16D103","COMP.","10MG","B/28","Princeps","Liste I","ROYAUME UNI",True,True,"5453","","414/ 16 D 103 /08","https://www.pharmnet-dz.com/notice.ashx?id=2288","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2288.png"
7,"ABILIFY 15MG COMP. B/28","OTSUKA PHARMACEUTICAL EUROPE LTD","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIFY","16D104","COMP.","15MG","B/28","Princeps","Liste I","ROYAUME UNI",True,True,"5452","","414/ 16 D 104 /08","https://www.pharmnet-dz.com/notice.ashx?id=2290","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2290.png"
8,"ABILIZOLE 10 MG CP ORODISPERSIBLE B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D171","COMP. ORODISPERS.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"5630","","352/16D171/17","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
9,"ABILIZOLE 10MG COMP. PELLI. B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D103","COMP.","10MG","B/30","Générique","Liste I","ALGERIE",True,True,"5842.2","","352/ 16 D 103 /15","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medics/2285.png"
10,"ABILIZOLE 15 MG CP ORODISPERSIBLE B/30","EL K","PSYCHIATRIE","NEUROLEPTIQUES","ARIPIPRAZOLE","ABILIZOLE","16D171","COMP. ORODISPERS.","15MG","B/30","Générique","Liste I","ALGERIE",True,True,"5630","","352/16D171/17","","https://www.pharmnet-dz.com/ImageHandler.ashx?imageurl=/img/medic.png"
